,,,,,,,,,
Detailed Statement,,,,,,,,,
Name:,SADASHIV LOGISTICS PRIVATE LIMITED,,,,Account Currency:,INR,,,
Address:,"312,ANTILIA BUSINESS HUB,NANA CHILODA ROAD,,SARDAR PATEL,RING ROAD NARODA AHMEDABAD,AHMEDABAD,382330,GUJARAT,INDIA",,,,A/C Branch:,AHMEDABAD - NARODA,,,
A/C No:,084405002881,,,,Branch Address:,"ICICI BANK LTD , GALAXY AVENUE, NEAR GALAXY TALKIES, NARODA, AHMEDABAD.382330,AHMADABAD|,GUJARAT,INDIA",,,
A/C Type:,CAA,,,,Cust Id:,584555486,,,
Jt. Holder:,,,,,Branch Code:,0844,,,
Transaction Date from:,01/07/2026,,,,IFSC Code:,ICIC0000844,,,
Transaction Period,From 01/07/2026 To 27/07/2026,,,,,,,,
Statement Request/Download Date:,27/07/2026,,,,,,,,
Advanced Search,,,,,,,,,
Amount from:,NA,To,NA,,,,,,
Cheque number from:,NA,To,NA,,,,,,
Transaction remarks:,,,,,,,,,
Transaction type:,CR,,,,,,,,
,,,,,,,,,
S.N.,Tran. Id,Value Date,Transaction Date,Transaction Posted Date,Cheque. No./Ref. No.,Transaction Remarks,Withdrawal Amt (INR),Deposit Amt (INR),Balance (INR)
1,S81062912,03/Jul/2026,03/Jul/2026,03/07/2026 04:55:25 PM,,MMT/IMPS/618416268246/AdvLr15580/Chiragtran/UTIB0003269,"7,900.00",,"6,46,194.39"
2,S81062663,03/Jul/2026,03/Jul/2026,03/07/2026 04:55:32 PM,,MMT/IMPS/618416268444/AdvLr15517/Chiragtran/UTIB0003269,"19,800.00",,"5,19,194.39"
3,S91522305,04/Jul/2026,04/Jul/2026,04/07/2026 04:12:27 PM,,MMT/IMPS/618516317280/AdvLr15518/Chiragtran/UTIB0003269,"14,400.00",,"12,87,194.39"
,,,,,,,,,
Page Total,,,,,,,,,
Opening Bal:,"6,93,569.39",,,,,,,,
Withdrawls:,"89,97,536.00",,,,,,,,
Deposits:,"89,00,000.00",,,,,,,,
Closing Bal:,"5,96,033.39",,,,,,,,
,,,,,,,,,
Legends Used in Account Statement,,,,,,,,,
1. BBPS - Bharat Bill Payment Service,,,,,,,,,
2. BCTT - Banking Cash Transaction Tax,,,,,,,,,
3. BIL - Internet Bill payment or funds transfer to Third party,,,,,,,,,
4. BPAY - Bill payment,,,,,,,,,
5. CCWD - Cardless Cash Withdrawal,,,,,,,,,
6. DTAX - Direct Tax,,,,,,,,,
7. EBA - Transaction on ICICI Direct,,,,,,,,,
8. IDTX - Indirect Tax,,,,,,,,,
9. IMPS - Immediate Payment Service,,,,,,,,,
10. INF - Internet fund transfer in linked accounts,,,,,,,,,
11. INFT - Internal Fund Transfer (Within ICICI Bank),,,,,,,,,
12. LCCBRN CMS - Local cheque collection,,,,,,,,,
13. LNPY - Linked loan payment,,,,,,,,,
14. MMT - Mobile Money Transfer (Insta FT - IMPS),,,,,,,,,
15. N chg - NEFT Charges,,,,,,,,,
16. NEFT - National Electronics Funds Transfer System (Other Bank Fund transfer),,,,,,,,,
17. ONL - Online Shopping transaction (Payment done on third party website),,,,,,,,,
18. PAC - Personal Accident cover,,,,,,,,,
19. PAVC - Pay any Visa credit card,,,,,,,,,
20. PAYC - Pay to Contact,,,,,,,,,
21. RCHG - Recharge,,,,,,,,,
22. SMO - Smart Money order,,,,,,,,,
23. T Chg - Travel Charges,,,,,,,,,
24. TOP - Mobile recharge,,,,,,,,,
25. UCCBRN CMS - Upcountry cheque collection,,,,,,,,,
26. VAT / MAT / NFS - Cash withdrawal at other bank ATM,,,,,,,,,
27. VPS / IPS - Debit card transaction,,,,,,,,,
28. BIL - To third party is for RIB,,,,,,,,,
"29. GIB - Tax & Statutory payment,EPFO, ESIC",,,,,,,,,
30. CMS - Internet bulk payment fund trf,,,,,,,,,
